login,link,followers,following,follow_ratio,public_repos,contributions,stars,total_size,user_feedback
brundage,https://github.com/brundage,15.0,27.0,0.5555555555555556,40.0,51.0,7.0,13545.0,0
kro,https://github.com/kro,52.0,33.0,1.5757575757575757,12.0,0.0,31.0,7272.0,0
jifka,https://github.com/jifka,7.0,2.0,3.5,3.0,0.0,1.0,166609.0,0
sepeth,https://github.com/sepeth,70.0,34.0,2.0588235294117645,49.0,129.0,52.0,441870.0,0
apascall,https://github.com/apascall,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
mikl2,https://github.com/mikl2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UsH-zz,https://github.com/UsH-zz,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
madpythonic,https://github.com/madpythonic,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
songoku119,https://github.com/songoku119,7.0,0.0,0.0,4.0,0.0,2.0,65028.0,0
smitaruba,https://github.com/smitaruba,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
abhijitbendale,https://github.com/abhijitbendale,47.0,1.0,47.0,11.0,1.0,285.0,565231.0,0
michaeluffer,https://github.com/michaeluffer,5.0,0.0,0.0,7.0,0.0,0.0,2432.0,0
jspaw,https://github.com/jspaw,5.0,0.0,0.0,3.0,0.0,3.0,312.0,0
ianloli,https://github.com/ianloli,5.0,0.0,0.0,1.0,0.0,1.0,3644.0,0
jjguzzardo,https://github.com/jjguzzardo,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0
wolfib,https://github.com/wolfib,57.0,0.0,0.0,19.0,0.0,159.0,2622418.0,0
Timpte,https://github.com/Timpte,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TouringPlans,https://github.com/TouringPlans,38.0,0.0,0.0,2.0,0.0,124.0,23961.0,0
frank107,https://github.com/frank107,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fleipold,https://github.com/fleipold,27.0,14.0,1.9285714285714288,28.0,1.0,211.0,802689.0,0
BlairDuncan,https://github.com/BlairDuncan,6.0,1.0,6.0,1.0,0.0,0.0,39424.0,0
gitanat,https://github.com/gitanat,0.0,0.0,0.0,34.0,0.0,592.0,909110.0,0
redventures-oss,https://github.com/redventures-oss,19.0,8.0,2.375,5.0,0.0,4.0,5418.0,0
bobodod,https://github.com/bobodod,5.0,2.0,2.5,0.0,0.0,0.0,0.0,0
hkcreative,https://github.com/hkcreative,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
jpbvt,https://github.com/jpbvt,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tanderegg,https://github.com/tanderegg,46.0,25.0,1.84,95.0,80.0,6.0,287430.0,0
apoorvatare,https://github.com/apoorvatare,5.0,0.0,0.0,1.0,0.0,1.0,92.0,0
guyoverfelt,https://github.com/guyoverfelt,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shanzo,https://github.com/shanzo,5.0,0.0,0.0,1.0,0.0,1.0,1224.0,0
psmyth,https://github.com/psmyth,5.0,0.0,0.0,6.0,0.0,0.0,1342.0,0
4dreamtravel,https://github.com/4dreamtravel,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0
vspader,https://github.com/vspader,5.0,0.0,0.0,1.0,0.0,0.0,205.0,0
abhisheksoni,https://github.com/abhisheksoni,6.0,5.0,1.2,6.0,0.0,0.0,97097.0,0
grishaeva,https://github.com/grishaeva,5.0,0.0,0.0,1.0,1.0,0.0,408960.0,0
michaelavila,https://github.com/michaelavila,77.0,97.0,0.7938144329896907,55.0,0.0,83.0,725482.0,0
Melnior,https://github.com/Melnior,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
watisdit,https://github.com/watisdit,5.0,0.0,0.0,1.0,0.0,1.0,4447.0,0
steveroam,https://github.com/steveroam,5.0,1.0,5.0,2.0,0.0,2.0,3329.0,0
markery,https://github.com/markery,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
happypoulp,https://github.com/happypoulp,116.0,5.0,23.2,20.0,6.0,3762.0,15210.0,0
creatives,https://github.com/creatives,5.0,0.0,0.0,1.0,0.0,1.0,48.0,0
theskabeater,https://github.com/theskabeater,15.0,2.0,7.5,27.0,18.0,3.0,920968.0,0
npickens,https://github.com/npickens,16.0,2.0,8.0,7.0,22.0,12.0,7597.0,0
dewback,https://github.com/dewback,24.0,23.0,1.0434782608695652,12.0,0.0,8.0,106090.0,0
pataterock,https://github.com/pataterock,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
vtokarev,https://github.com/vtokarev,5.0,0.0,0.0,1.0,0.0,1.0,26596.0,0
brunoneves,https://github.com/brunoneves,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dododedodonl,https://github.com/dododedodonl,16.0,11.0,1.4545454545454546,42.0,385.0,4.0,949376.0,0
icarus1633,https://github.com/icarus1633,5.0,0.0,0.0,1.0,0.0,1.0,1016.0,0
Turelyo,https://github.com/Turelyo,8.0,0.0,0.0,1.0,19.0,0.0,119.0,0
soloeskuchalo,https://github.com/soloeskuchalo,5.0,0.0,0.0,1.0,0.0,1.0,385.0,0
nbarnes,https://github.com/nbarnes,13.0,1.0,13.0,49.0,1.0,9.0,6179.0,0
Mack1947,https://github.com/Mack1947,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
evanmcd,https://github.com/evanmcd,5.0,0.0,0.0,9.0,0.0,6.0,130344.0,0
aidliaTest,https://github.com/aidliaTest,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
kmwalke,https://github.com/kmwalke,9.0,2.0,4.5,15.0,159.0,8.0,285465.0,0
ericstoltz,https://github.com/ericstoltz,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
rmerriam,https://github.com/rmerriam,5.0,0.0,0.0,2.0,5.0,0.0,9.0,0
sberan,https://github.com/sberan,43.0,49.0,0.8775510204081632,64.0,916.0,79.0,280834.0,0
scottcsims,https://github.com/scottcsims,33.0,66.0,0.5,22.0,0.0,35.0,650638.0,0
craigts,https://github.com/craigts,11.0,1.0,11.0,11.0,820.0,0.0,18905.0,0
yatta,https://github.com/yatta,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0
cwsherer11,https://github.com/cwsherer11,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
zhifeng,https://github.com/zhifeng,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
kennygadams,https://github.com/kennygadams,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
crazyg77,https://github.com/crazyg77,5.0,0.0,0.0,2.0,0.0,2.0,144.0,0
ihildebrandt,https://github.com/ihildebrandt,13.0,0.0,0.0,75.0,13.0,3.0,1058180.0,0
jasonisrael,https://github.com/jasonisrael,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Oceloyotl,https://github.com/Oceloyotl,5.0,0.0,0.0,1.0,0.0,0.0,90.0,0
regmi,https://github.com/regmi,7.0,2.0,3.5,29.0,0.0,26.0,1252544.0,0
yumyai,https://github.com/yumyai,9.0,8.0,1.125,23.0,12.0,4.0,991919.0,0
metal3d,https://github.com/metal3d,185.0,5.0,37.0,154.0,363.0,1001.0,112601.0,0
goldenberg,https://github.com/goldenberg,23.0,8.0,2.875,14.0,20.0,15.0,409907.0,0
mhan,https://github.com/mhan,17.0,12.0,1.4166666666666667,31.0,0.0,10.0,920263.0,0
challinan,https://github.com/challinan,5.0,5.0,1.0,36.0,31.0,2.0,103784.0,0
akolechkin,https://github.com/akolechkin,9.0,3.0,3.0,16.0,0.0,12.0,31390.0,0
sabyg,https://github.com/sabyg,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pbmakam,https://github.com/pbmakam,5.0,0.0,0.0,1.0,0.0,0.0,361.0,0
acoldone,https://github.com/acoldone,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
clayschick,https://github.com/clayschick,5.0,0.0,0.0,24.0,0.0,5.0,137702.0,0
aliamondano,https://github.com/aliamondano,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ecairns,https://github.com/ecairns,8.0,0.0,0.0,6.0,0.0,0.0,12795.0,0
vpulim,https://github.com/vpulim,95.0,4.0,23.75,66.0,6.0,4.0,282193.0,0
itsbear,https://github.com/itsbear,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
umongousProjects,https://github.com/umongousProjects,9.0,0.0,0.0,10.0,0.0,2.0,50391.0,0
who90210,https://github.com/who90210,5.0,0.0,0.0,1.0,0.0,1.0,1086.0,0
ange,https://github.com/ange,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fmaumus,https://github.com/fmaumus,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
recremd,https://github.com/recremd,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TheLizard,https://github.com/TheLizard,6.0,0.0,0.0,6.0,7.0,0.0,1277797.0,0
scalala,https://github.com/scalala,20.0,1.0,20.0,1.0,0.0,299.0,27500.0,0
volte,https://github.com/volte,5.0,0.0,0.0,6.0,33.0,0.0,187114.0,0
philpeace,https://github.com/philpeace,5.0,1.0,5.0,16.0,0.0,6.0,66084.0,0
jeffgyoung,https://github.com/jeffgyoung,5.0,0.0,0.0,5.0,0.0,0.0,822366.0,0
joeweaver,https://github.com/joeweaver,16.0,8.0,2.0,33.0,44.0,4.0,2685303.0,0
bschaf,https://github.com/bschaf,11.0,8.0,1.375,3.0,0.0,0.0,5572.0,0
nhillhou,https://github.com/nhillhou,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
abderrahim,https://github.com/abderrahim,11.0,0.0,0.0,48.0,181.0,8.0,405796.0,0
kallisti5,https://github.com/kallisti5,105.0,4.0,26.25,207.0,174.0,53.0,2253814.0,0
makku,https://github.com/makku,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ariw,https://github.com/ariw,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
philster34,https://github.com/philster34,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
eamorimoto,https://github.com/eamorimoto,5.0,0.0,0.0,2.0,0.0,2.0,124.0,0
crbrown,https://github.com/crbrown,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
wisnpaul,https://github.com/wisnpaul,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
johnboyd,https://github.com/johnboyd,7.0,5.0,1.4,4.0,0.0,3.0,223.0,0
trucklos,https://github.com/trucklos,5.0,5.0,1.0,13.0,166.0,0.0,1587038.0,0
nithinshivashankar,https://github.com/nithinshivashankar,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
